run_dir	dataset	model	interaction_method	meta_present	dataset.name	dataset.all_times	n	L	w	gamma	dataset.cross_coeff	dataset.noise	lbl	tws	m	h	ly	bsval	taumax	clf.epoch	clf.train_loss	clf.accuracy	clf.precision	clf.recall	clf.f1	clf.auroc	clf.auprc	clf.val_loss	noise	window_size	dm	pairwise.ls.precision	pairwise.ls.recall	pairwise.ls.f1	pairwise.ls.tp	pairwise.ls.fp	pairwise.ls.fn	pairwise.ls.auroc	pairwise.ls.auprc	pairwise.la.precision	pairwise.la.recall	pairwise.la.f1	pairwise.la.tp	pairwise.la.fp	pairwise.la.fn	pairwise.la.auroc	pairwise.la.auprc	pairwise.lag_locality.mean_lag_error	pairwise.lag_locality.mean_loc@5	pairwise.strength.spearman	pairwise.delta	dataset.p	d	dataset.a1	dataset.split_ratio	a1	pointwise.AOPC_deletion	pointwise.AOPC_insertion	pointwise.Sufficiency	pointwise.Comprehensiveness	dataset.a9	dataset.a10
../runs_new/var_nonlocal_a100.75_a90.7_edge10[1,2]_edge9[0,1]_n400_d3_L50_split_ratio0.8/transformer_dm32_ly2/bs32_ep200	var_nonlocal	transformer		True	var_nonlocal	False	400.0	50.0				0.05			transformer		2.0	32.0	25.0	200.0	0.0615	0.95	1.0	0.9024	0.9487	0.9937	0.9947	0.1315	0.05		32.0																						3.0		0.8						0.7	0.75
../runs_new/var_nonlocal_a100.75_a90.5_edge10[1,2]_edge9[0,1]_n400_d3_L50_split_ratio0.8/transformer_dm16_ly2/bs32_ep200	var_nonlocal	transformer		True	var_nonlocal	False	400.0	50.0				0.05			transformer		2.0	32.0	25.0	200.0	0.0076	0.95	0.9318	0.9762	0.9535	0.9931	0.9942	0.2438	0.05		16.0																						3.0		0.8						0.5	0.75
../runs_new/var_nonlocal_a100.75_a90.5_edge10[1,2]_edge9[0,1]_n400_d3_L50_split_ratio0.8/transformer_dm32_ly2/bs32_ep200	var_nonlocal	transformer		True	var_nonlocal	False	400.0	50.0				0.05			transformer		2.0	32.0	25.0	200.0	0.0027	0.95	0.9756	0.9302	0.9524	0.9893	0.991	0.3038	0.05		32.0																						3.0		0.8						0.5	0.75
../runs_new/var_nonlocal_a100.75_a90.8_edge10[1,2]_edge9[0,1]_n400_d3_L50_split_ratio0.8/transformer_dm32_ly2/bs32_ep200	var_nonlocal	transformer		True	var_nonlocal	False	400.0	50.0				0.05			transformer		2.0	32.0	25.0	200.0	0.0081	0.95	0.9677	0.9091	0.9375	0.991	0.9885	0.3461	0.05		32.0																						3.0		0.8						0.8	0.75
../runs_new/var_nonlocal_a100.75_a90.6_edge10[1,2]_edge9[0,1]_n400_d3_L50_split_ratio0.8/transformer_dm16_ly2/bs32_ep200	var_nonlocal	transformer		True	var_nonlocal	False	400.0	50.0				0.05			transformer		2.0	32.0	25.0	200.0	0.0206	0.925	0.9143	0.9143	0.9143	0.9886	0.9857	0.3774	0.05		16.0																						3.0		0.8						0.6	0.75
../runs_new/var_nonlocal_a100.75_a90.6_edge10[1,2]_edge9[0,1]_n400_d3_L50_split_ratio0.8/transformer_dm32_ly2/bs32_ep200	var_nonlocal	transformer		True	var_nonlocal	False	400.0	50.0				0.05			transformer		2.0	32.0	25.0	200.0	0.0008	0.9625	0.9583	0.9787	0.9684	0.9813	0.9854	0.3008	0.05		32.0																						3.0		0.8						0.6	0.75
../runs_new/var_nonlocal_a100.75_a90.8_edge10[1,2]_edge9[0,1]_n400_d3_L50_split_ratio0.8/transformer_dm8_ly2/bs32_ep200	var_nonlocal	transformer		True	var_nonlocal	False	400.0	50.0				0.05			transformer		2.0	32.0	25.0	200.0	0.0243	0.925	0.9643	0.8438	0.9	0.9889	0.9848	0.1731	0.05		8.0																						3.0		0.8						0.8	0.75
../runs_new/var_nonlocal_a100.75_a90.8_edge10[1,2]_edge9[0,1]_n400_d3_L50_split_ratio0.8/lstm_h16_ly2/bs32_ep200	var_nonlocal	lstm		True	var_nonlocal	False	400.0	50.0				0.05			lstm	16.0	2.0	32.0	25.0	200.0	0.3323	0.8	0.8684	0.75	0.8049	0.9021	0.9235	0.3969	0.05																								3.0		0.8						0.8	0.75
../runs_new/var_nonlocal_a100.75_a90.6_edge10[1,2]_edge9[0,1]_n400_d3_L50_split_ratio0.8/lstm_h16_ly2/bs32_ep200	var_nonlocal	lstm		True	var_nonlocal	False	400.0	50.0				0.05			lstm	16.0	2.0	32.0	25.0	200.0	0.3669	0.8625	0.8667	0.8864	0.8764	0.911	0.9043	0.3693	0.05																								3.0		0.8						0.6	0.75
../runs_new/var_nonlocal_a100.75_a90.6_edge10[1,2]_edge9[0,1]_n400_d3_L50_split_ratio0.8/lstm_h8_ly2/bs32_ep200	var_nonlocal	lstm		True	var_nonlocal	False	400.0	50.0				0.05			lstm	8.0	2.0	32.0	25.0	200.0	0.5278	0.8	0.8611	0.7381	0.7949	0.8772	0.8591	0.5152	0.05																								3.0		0.8						0.6	0.75
../runs_new/var_nonlocal_a100.75_a90.6_edge10[1,2]_edge9[0,1]_n400_d3_L50_split_ratio0.8/lstm_h32_ly2/bs32_ep200	var_nonlocal	lstm		True	var_nonlocal	False	400.0	50.0				0.05			lstm	32.0	2.0	32.0	25.0	200.0	0.3012	0.775	0.8649	0.7111	0.7805	0.8089	0.8525	0.5805	0.05																								3.0		0.8						0.6	0.75
../runs_new/var_nonlocal_a100.75_a90.8_edge10[1,2]_edge9[0,1]_n400_d3_L50_split_ratio0.8/lstm_h32_ly2/bs32_ep200	var_nonlocal	lstm		True	var_nonlocal	False	400.0	50.0				0.05			lstm	32.0	2.0	32.0	25.0	200.0	0.233	0.775	0.8	0.8	0.8	0.8051	0.8437	0.5153	0.05																								3.0		0.8						0.8	0.75
../runs_new/var_nonlocal_a100.75_a90.5_edge10[1,2]_edge9[0,1]_n400_d3_L50_split_ratio0.8/lstm_h8_ly2/bs32_ep200	var_nonlocal	lstm		True	var_nonlocal	False	400.0	50.0				0.05			lstm	8.0	2.0	32.0	25.0	200.0	0.4815	0.7125	0.7073	0.725	0.716	0.8075	0.8336	0.5204	0.05																								3.0		0.8						0.5	0.75
../runs_new/var_nonlocal_a100.75_a90.5_edge10[1,2]_edge9[0,1]_n400_d3_L50_split_ratio0.8/lstm_h32_ly2/bs32_ep200	var_nonlocal	lstm		True	var_nonlocal	False	400.0	50.0				0.05			lstm	32.0	2.0	32.0	25.0	200.0	0.2287	0.75	0.75	0.6667	0.7059	0.8314	0.8201	0.4703	0.05																								3.0		0.8						0.5	0.75
../runs_new/var_nonlocal_a100.75_a90.5_edge10[1,2]_edge9[0,1]_n400_d3_L50_split_ratio0.8/lstm_h16_ly2/bs32_ep200	var_nonlocal	lstm		True	var_nonlocal	False	400.0	50.0				0.05			lstm	16.0	2.0	32.0	25.0	200.0	0.3889	0.7375	0.7586	0.6111	0.6769	0.8207	0.7979	0.5154	0.05																								3.0		0.8						0.5	0.75
../runs_new/var_nonlocal_a100.75_a90.7_edge10[1,2]_edge9[0,1]_n400_d3_L50_split_ratio0.8/lstm_h16_ly2/bs32_ep200	var_nonlocal	lstm		True	var_nonlocal	False	400.0	50.0				0.05			lstm	16.0	2.0	32.0	25.0	200.0	0.4311	0.725	0.7692	0.5556	0.6452	0.7727	0.7891	0.5743	0.05																								3.0		0.8						0.7	0.75
../runs_new/var_nonlocal_a100.75_a90.8_edge10[1,2]_edge9[0,1]_n400_d3_L50_split_ratio0.8/lstm_h8_ly2/bs32_ep200	var_nonlocal	lstm		True	var_nonlocal	False	400.0	50.0				0.05			lstm	8.0	2.0	32.0	25.0	200.0	0.4828	0.7375	0.6842	0.7429	0.7123	0.8076	0.7682	0.5235	0.05																								3.0		0.8						0.8	0.75
../runs_new/var_nonlocal_a100.75_a90.7_edge10[1,2]_edge9[0,1]_n400_d3_L50_split_ratio0.8/lstm_h8_ly2/bs32_ep200	var_nonlocal	lstm		True	var_nonlocal	False	400.0	50.0				0.05			lstm	8.0	2.0	32.0	25.0	200.0	0.4177	0.675	0.625	0.6944	0.6579	0.7633	0.7551	0.572	0.05																								3.0		0.8						0.7	0.75
../runs_new/var_nonlocal_a100.75_a90.7_edge10[1,2]_edge9[0,1]_n400_d3_L50_split_ratio0.8/lstm_h32_ly2/bs32_ep200	var_nonlocal	lstm		True	var_nonlocal	False	400.0	50.0				0.05			lstm	32.0	2.0	32.0	25.0	200.0	0.1512	0.6375	0.5854	0.6667	0.6234	0.7399	0.7333	0.7277	0.05																								3.0		0.8						0.7	0.75
